c1,c2,c3,perturbation
0.7832721425275768,0.6912038838348019,0.8227133365522379,0.0050505050495050505
0.27659155319280593,0.25523777888748567,0.293496719059875,0.0025252525247525253
0.1428921064836884,0.15505601624873286,0.13821658784469848,0.0012626262623762626
0.07400875515063367,0.0758508528336054,0.07588733661325339,0.0006313131311881313
0.033477249420319155,0.03576984912819565,0.039365936906883024,0.00031565656559406566
0.020117762510744035,0.017715353489116042,0.019116819343097266,0.00015782828279703283
0.009967231795645294,0.009047591683934368,0.010024494571870124,7.891414139851641e-05
0.004432437199851694,0.004368422015963822,0.004735461940478557,3.945707069925821e-05
0.0026762544274979653,0.002631637842502858,0.0028616879149799598,1.9728535349629104e-05
0.0012536830797259975,0.0012806318123973926,0.001103728062786862,9.864267674814552e-06
