depth,L2_distance
1,0.6725792731530589
2,0.38715382237176854
3,0.22857079299111252
4,0.18563933274453617
5,0.1499359837006979
6,0.13806018955228813
7,0.12786766766521881
8,0.11989377428087879
9,0.11489928345191118
10,0.11489928345191118
