depth,L2_distance
1,1.3651998279135236
2,0.21175420408264348
3,0.09553235537870423
4,0.08227409711133632
5,0.05306090238181785
6,0.04911558713650393
7,0.0410090604785786
8,0.0401612163381557
9,0.05397565967737918
10,0.052616132592735405
