depth,mean_time
1,4.099776082568699
2,5.928749402364095
3,10.40708581606547
4,13.633070256974962
5,19.589840518103706
6,23.822132719887627
7,35.19273312886556
8,39.703416691886055
9,52.199473089642
10,60.691529750823975
