depth,mean_time
1,9.0685998333825
2,10.669177293777466
3,13.487465196185642
4,17.31923903359307
5,23.98308645354377
6,26.414508448706734
7,35.37295778592428
8,42.18829925855001
9,53.14406241310967
10,61.084050469928314
