depth,L2_distance
1,1.9333714343760025
2,0.33327208492782073
3,0.22633489470808543
4,0.16687455609385404
5,0.15612215626683168
6,0.13819743596355946
7,0.13862535095801903
8,0.12526410917545439
9,0.11707478056699205
10,0.11066341767150796
