depth,L2_distance
1,0.9637401463675455
2,0.20652337559035436
3,0.09034341898562372
4,0.07441121161949175
5,0.049970743775462415
6,0.047751660755242877
7,0.03926288289095396
8,0.03940405181604382
9,0.036840302518482346
10,0.03791584576472938
