depth,L2_distance
1,0.6326620624219408
2,0.36241958718319783
3,0.21431368565101674
4,0.1742177538850893
5,0.1412442908862554
6,0.12957403946391866
7,0.12000928118478407
8,0.11290287270201495
9,0.1080301531982631
10,0.1080301531982631
