x,g0,g1,g2
0.0,0.0,0.0,0.0
0.010101010101010102,1.707824408710391e-05,0.02019718092336796,0.018126164989899534
0.020202020202020204,0.0001087089703542128,0.04037615064129946,0.03617525613010134
0.030303030303030304,0.0003521504306073593,0.06051882795650005,0.0540869377784432
0.04040404040404041,0.0008238456361899797,0.08060190697950856,0.07181888048264407
0.05050505050505051,0.00159984979918456,0.10060724558878742,0.08919490485091494
0.06060606060606061,0.002749202625371711,0.12051667410142387,0.10631813682564291
0.07070707070707072,0.004337724150976549,0.14031210527498852,0.12306220745605553
0.08080808080808081,0.006429737887296342,0.15997652428403947,0.139384682021815
0.09090909090909091,0.009084616747345405,0.17949400995218573,0.1552331668614586
0.10101010101010102,0.012353660205061916,0.1988452290010535,0.17057560225280183
0.11111111111111112,0.01628845434091247,0.21801601170402593,0.1853375294232898
0.12121212121212122,0.02093300573509941,0.2369860400753365,0.19948619484817404
0.13131313131313133,0.02631683150517936,0.2557417974210053,0.212989987491676
0.14141414141414144,0.03247762978144712,0.2742765220517212,0.22581926010351538
0.15151515151515152,0.039438204207851824,0.29258628862476466,0.2379378050323486
0.16161616161616163,0.04720567299605701,0.3106364137780545,0.2494146605296002
0.17171717171717174,0.05579788429872022,0.32842737635859554,0.26019072493875395
0.18181818181818182,0.06521599631247757,0.3459626321726281,0.270272301377774
0.19191919191919193,0.0754534195546306,0.3632194668064341,0.27966527332154845
0.20202020202020204,0.08649768657592782,0.3801636023062101,0.2883794570234505
0.21212121212121213,0.09833242239655376,0.3968135166180122,0.29645006610277375
0.22222222222222224,0.11093638405693412,0.4131567475977752,0.303898459470318
0.23232323232323235,0.12424372649305426,0.429163551825842,0.31074133833579803
0.24242424242424243,0.13825186015015156,0.4448694645122396,0.31702189173774886
0.25252525252525254,0.15291210971342672,0.4602429926911211,0.3228347655580917
0.26262626262626265,0.16814812212627825,0.47531535583211637,0.32814035694483296
0.27272727272727276,0.18393677848246245,0.4900496351253734,0.3330736608288654
0.2828282828282829,0.2001999108352529,0.504472430734728,0.3375927708886026
0.29292929292929293,0.21686260957104594,0.5185556290181091,0.3418329451489437
0.30303030303030304,0.23388887855229903,0.532312848883477,0.34582280709971386
0.31313131313131315,0.2511863635557567,0.5457476923377214,0.3496546830146131
0.32323232323232326,0.2686730030082483,0.55883888779447,0.3533610138422508
0.33333333333333337,0.2863156059768078,0.5716224051316993,0.35704179297507604
0.3434343434343435,0.30398464249498713,0.584084299848052,0.36070468910417813
0.3535353535353536,0.3216543400406176,0.5962360083228241,0.3644478906138482
0.36363636363636365,0.3392194680786797,0.6080759536578125,0.36838821364205765
0.37373737373737376,0.35664438766310536,0.6196138380274178,0.3725460013419271
0.38383838383838387,0.3738588413377882,0.6308544746564957,0.3769338150528197
0.393939393939394,0.39074947696983275,0.6418032612340288,0.3817001569422614
0.4040404040404041,0.40725436772502643,0.6524639926588148,0.3867913248091357
0.4141414141414142,0.42333654100261164,0.662856945976576,0.3923736828663327
0.42424242424242425,0.4389236521934261,0.6729437519757068,0.39843917768450426
0.43434343434343436,0.45397812319355774,0.6827940821700629,0.4050499927048776
0.4444444444444445,0.46842159355078195,0.6923739862835596,0.41224294627198793
0.4545454545454546,0.4822832369160628,0.7017030810791535,0.42003708422333724
0.4646464646464647,0.49546499844546105,0.7107870674274611,0.4284958987882961
0.4747474747474748,0.5079547008041919,0.7196378012371263,0.4376121538468898
0.48484848484848486,0.5197215328892225,0.728265812416736,0.447401208317648
0.494949494949495,0.5307735014551259,0.7366758715504429,0.45786511124640694
0.5050505050505051,0.5410884759389402,0.7448788415843235,0.46900798299537794
0.5151515151515152,0.5506711052881107,0.7528796845493565,0.4808273016950267
0.5252525252525253,0.5595263591517329,0.7606843061330293,0.49331795703437337
0.5353535353535354,0.5676689525121471,0.7683006974126704,0.506438435782029
0.5454545454545455,0.5751156459438465,0.7757367401238854,0.5202078536863665
0.5555555555555556,0.5818891824959582,0.783002509137667,0.5345999210483814
0.5656565656565657,0.5880308780261673,0.790096133889645,0.5495616749751658
0.5757575757575758,0.593573104846047,0.7970284540137438,0.5650602269659215
0.5858585858585859,0.5985617229963823,0.8038098971606971,0.5810437445441953
0.595959595959596,0.6030502848737469,0.8104421378628501,0.5974547932121245
0.6060606060606061,0.6070959717225766,0.8169264884782267,0.6142231603469003
0.6161616161616162,0.6107529127614575,0.8232810112921813,0.6312952770774504
0.6262626262626263,0.6140980929304991,0.8294971188945036,0.6485880644593112
0.6363636363636365,0.6171866490648562,0.8355870390704586,0.6660597466968932
0.6464646464646465,0.6200799282586765,0.841554368664718,0.6836295787548006
0.6565656565656566,0.6228645712089008,0.8474013313077394,0.701255367056355
0.6666666666666667,0.6256086429970329,0.8531378970075332,0.7188559755952538
0.6767676767676768,0.6283817595132085,0.8587620922883437,0.7363631811533031
0.686868686868687,0.6312615917116626,0.8642846228364088,0.7537316573218029
0.696969696969697,0.6343219311295311,0.8697015066100562,0.77088269520089
0.7070707070707072,0.6376295605342561,0.8750241251441475,0.7877131347528595
0.7171717171717172,0.6412626832492435,0.88024529137975,0.8041866780728593
0.7272727272727273,0.6452779613779135,0.8853810301133193,0.8202218002055188
0.7373737373737375,0.6497616956464888,0.890421651397436,0.8357595255446424
0.7474747474747475,0.6547073525115593,0.8953803392680044,0.8507482108055698
0.7575757575757577,0.6602557406983496,0.900252712343448,0.8651335238725335
0.7676767676767677,0.6664294725710509,0.9050487245211197,0.8788586019930574
0.7777777777777778,0.6732441808583127,0.90976231408778,0.8918942931969978
