x,g0,g1,g2
0.0,0.0,0.0,0.0
0.010101010101010102,1.4077875500874816e-05,0.02020497231299639,0.01784982385467953
0.020202020202020204,0.00010589701561603018,0.04037956193786662,0.03602903319259985
0.030303030303030304,0.0003505414899771775,0.060513189710215985,0.05389845515795546
0.04040404040404041,0.0008240740947886981,0.08060082543944691,0.07170421275112701
0.05050505050505051,0.0016017531165399054,0.10060691694735967,0.08914805542447839
0.06060606060606061,0.0027507113311528598,0.12051713359578552,0.10628690704550978
0.07070707070707072,0.004339821523880431,0.14031287874866058,0.12306698623977261
0.08080808080808081,0.006432243812064436,0.15997663612741503,0.13938273493100456
0.09090909090909091,0.009088068285874088,0.17949297795236518,0.15521796826250214
0.10101010101010102,0.012356642465333523,0.19884583136816378,0.17052979700618068
0.11111111111111112,0.016292215299835395,0.21801782320961646,0.18525409463542777
0.12121212121212122,0.020936143003498955,0.23699165593800364,0.19939396340812404
0.13131313131313133,0.026319629941947746,0.2557541067518163,0.21290748813579627
0.14141414141414144,0.03247936893705217,0.27429275613325077,0.22573718747970833
0.15151515151515152,0.039438642565041745,0.29259980795408863,0.23788778125063675
0.16161616161616163,0.047204164421410774,0.31063822495853494,0.24935015511393782
0.17171717171717174,0.05579449598149245,0.32843061735458146,0.2601047490030554
0.18181818181818182,0.0652105922842241,0.34596266263404557,0.2701727587784124
0.19191919191919193,0.07544722714415793,0.36321771411292275,0.27956050912455005
0.20202020202020204,0.08649130138527764,0.3801600289106368,0.2882596501404905
0.21212121212121213,0.09832664621050877,0.3968104077127768,0.29628911192030605
0.22222222222222224,0.11093291504343532,0.4131530322631553,0.30370485810157877
0.23232323232323235,0.12423935746529798,0.4291623619289279,0.3105475818794023
0.24242424242424243,0.1382480437359185,0.44487246345742515,0.31683080024678917
0.25252525252525254,0.1529086566449061,0.4602479301050192,0.3226530211227028
0.26262626262626265,0.16814497732562794,0.47531983569441305,0.32793896788513804
0.27272727272727276,0.18393712098392082,0.49005564583533145,0.3328482330976624
0.2828282828282829,0.20020011817458475,0.5044776104320806,0.3373660483377621
0.29292929292929293,0.21686608557940332,0.5185639872013519,0.34159210808304
0.30303030303030304,0.23389400639710786,0.5323223160012769,0.34560849608990024
0.31313131313131315,0.2511918905619704,0.5457537405696042,0.3494974635758141
0.32323232323232326,0.26867280204626764,0.5588487631771046,0.35335167594090205
0.33333333333333337,0.286288594309126,0.5716233200284228,0.3569665233811073
0.3434343434343435,0.3039768155445649,0.5840873326752378,0.36066957928674837
0.3535353535353536,0.32164064977936024,0.596226834741772,0.36457045520453063
0.36363636363636365,0.33921252409197,0.6080729364490306,0.36847556963046385
0.37373737373737376,0.3566367921749738,0.6196113073088696,0.37258000945448094
0.38383838383838387,0.3738486175027668,0.6308522820097898,0.3769397372165481
0.393939393939394,0.39071557775636623,0.6418017321995929,0.38183800618775954
0.4040404040404041,0.40723242388751285,0.6524616465704673,0.3869651589908546
0.4141414141414142,0.4233191180801063,0.6628448837311685,0.39243799584485994
0.42424242424242425,0.4389019791627739,0.6729514890478506,0.39849355246780177
0.43434343434343436,0.45395829003380656,0.6827922155614184,0.4050748718175244
0.4444444444444445,0.4684152739998524,0.6923777059628579,0.41226321118667236
0.4545454545454546,0.4822568853378238,0.7017069294566582,0.420037584292733
0.4646464646464647,0.49544739142070715,0.7107931599027376,0.4284618763355613
0.4747474747474748,0.5079373630630329,0.7196443171300898,0.4375691170700087
0.48484848484848486,0.5197178855232261,0.7282743604191676,0.4473456214449918
0.494949494949495,0.5307692014029113,0.7366833597349889,0.4578223949202568
0.5050505050505051,0.541087941841625,0.7448868906651576,0.4689811019077981
0.5151515151515152,0.5506726664588943,0.7528882650561407,0.4808172266394593
0.5252525252525253,0.5595285123862641,0.7606926216820631,0.4933183448904779
0.5353535353535354,0.567670440689873,0.7683074610674897,0.5064448456071292
0.5454545454545455,0.5750919152872687,0.7757430656113844,0.5202115038107836
0.5555555555555556,0.581905629958862,0.7830063941671593,0.5345944106962439
0.5656565656565657,0.5880357522087641,0.7901006835444434,0.5495342127392913
0.5757575757575758,0.5935673950887931,0.797032090909033,0.5650268600227335
0.5858585858585859,0.5985644449174866,0.8038112378020749,0.5809985722491551
0.595959595959596,0.6030525717710437,0.8104374640115263,0.5974095973653768
0.6060606060606061,0.6070977009428514,0.8169215893612538,0.6141910404423594
0.6161616161616162,0.610760262179593,0.823269292615524,0.6312707572788653
0.6262626262626263,0.614094215782511,0.8294859236308205,0.6485870926409457
0.6363636363636365,0.6171800755394554,0.8355758586876825,0.6660819395254506
0.6464646464646465,0.6200812812993578,0.8415448206284806,0.6836789938337695
0.6565656565656566,0.6228617812998806,0.8473932176534548,0.701306594810115
0.6666666666666667,0.6256081528950347,0.8531327806503113,0.718912001614542
0.6767676767676768,0.6283827799029941,0.8587558229813728,0.7364237874766149
0.686868686868687,0.6312626555975429,0.8642757369824411,0.7537771719625552
0.696969696969697,0.6343224999035315,0.8696935939797424,0.7708996408385344
0.7070707070707072,0.6376358323266716,0.8750224862899811,0.7877247119378172
0.7171717171717172,0.6412574216880923,0.8802398386330863,0.8041890248156827
0.7272727272727273,0.6452780934142961,0.885374731912317,0.8202151081737038
0.7373737373737375,0.6497451936691613,0.8904173009328594,0.8357484469967237
0.7474747474747475,0.6547227259600392,0.8953768604149497,0.8507334719177176
0.7575757575757577,0.6602660677029617,0.9002499943170308,0.8651171173389833
0.7676767676767677,0.6664254981520911,0.9050465230480378,0.8788482912320156
0.7777777777777778,0.6732454293839752,0.9097610115160635,0.8918956742534274
