depth,mean_time
1,4.607204410764906
2,5.7838484976026745
3,8.512782573699951
4,11.456427839067247
5,18.249441464742024
6,22.05141610569424
7,30.009782128863865
8,36.44541682137383
9,46.932308991750084
10,56.421118126975166
